prompt,expected_agent,routed_to,status,elapsed_seconds,error
What are the latest developments in AI agents this week?,researcher,researcher,PASS,4.90,
Research OpenAI's newest model releases in 2026,researcher,researcher,PASS,13.74,
Find information about LangGraph and how it works,researcher,researcher,PASS,49.18,
What is the current state of MCP (Model Context Protocol)?,researcher,researcher,PASS,16.58,
Look up recent news about Google DeepMind,researcher,researcher,PASS,17.79,
Search for best practices for building multi-agent AI systems,researcher,researcher,PASS,35.56,
What programming languages are most in demand for AI jobs in 2026?,researcher,researcher,PASS,29.17,
Find the latest benchmarks comparing GPT-4 and Claude models,researcher,researcher,PASS,12.38,
Draft a professional email to my professor asking for a deadline extension,writer,writer,PASS,10.10,
Write a cover letter for a software engineering internship at Google,writer,writer,PASS,7.27,
Edit this paragraph to sound more formal and professional,writer,writer,PASS,3.64,
Write a LinkedIn summary for a computer science student,writer,writer,PASS,11.44,
Draft a polite follow-up email after a job interview,writer,writer,PASS,5.46,
Summarise this research paper in 3 bullet points,writer,writer,PASS,2.88,
Write a project README for my GitHub repository,writer,writer,PASS,11.98,
Rewrite this message to sound less aggressive,writer,writer,PASS,7.27,
Schedule a study session for tomorrow at 3pm for 2 hours,scheduler,scheduler,PASS,3.30,
Book a meeting with my team next Monday at 10am,scheduler,scheduler,PASS,3.67,
What events do I have scheduled this week?,scheduler,scheduler,PASS,3.74,
Create a calendar event for my dentist appointment on Friday at 2pm,scheduler,scheduler,PASS,3.68,
Block out 4 hours every Sunday morning for deep work,scheduler,scheduler,PASS,2.71,
Schedule a 30-minute daily standup every weekday at 9am,scheduler,scheduler,PASS,43.00,
Am I free tomorrow afternoon between 2pm and 5pm?,scheduler,scheduler,PASS,3.11,
Move my 3pm meeting to 5pm today,scheduler,scheduler,PASS,2.77,
Summarise my last 5 unread emails,summariser,summariser,PASS,10.39,
What emails did I receive from my professor this week?,summariser,summariser,PASS,2.93,
Show me any urgent emails I need to respond to,summariser,summariser,PASS,8.97,
Give me a digest of my inbox from the last 24 hours,summariser,summariser,PASS,3.26,
Have I received any emails about my internship application?,summariser,summariser,PASS,2.36,
Summarise all emails from my project team this month,summariser,summariser,PASS,3.37,
